"id","generated_procedure_name","generated_procedure_description","procedure_name"
920,"Collagen Matrix Repair for Tissue Regeneration","This is a medical procedure involving the use of a Matrix Ologen collagen tissue repair product that is 12x1mm in size. It is typically used for repairing damaged or diseased tissue, such as in ophthalmology for repairing the conjunctiva after surgery.","matrix ologen collagen tissue repair 12x1mm"
921,"MRI-Compatible System Halo with Rings and Pins","MRI-Compatible System Halo with Rings and Pins","system halo addition mri compatible w/rings/pins"
922,"Laser Assisted Straightening of Ear Tip Fibers","Laser Assisted Straightening of Ear Tip Fibers","tip laser fiber straight otolase"
923,"CT-Guided Stereotactic Localization Procedure","CT-Guided Stereotactic Localization Procedure","ct guidance for stereotactic loc"
924,"CT Scan with Contrast for the Left Lower Limb","This is a medical imaging procedure that involves a computed tomography (CT) scan of the lower extremities (legs) with the use of a contrast material to enhance the visualization of blood vessels and other structures in the left leg.","ct lower extremity w/ contrast left"
925,"Cervical Spine MRI with and without Contrast.","This is a medical imaging procedure that uses magnetic resonance imaging (MRI) to examine the cervical (neck) portion of the spine, both with and without the use of a contrast agent. The contrast agent helps to improve the visibility of certain areas of the cervical spine.","mri spine cervical w/ + w/o contrast"
926,"Thoracic Spine MRI with and without Contrast.","This is a medical imaging procedure that involves using magnetic resonance imaging (MRI) to capture detailed images of the thoracic spine. The procedure may involve administering a contrast agent to enhance the visibility of certain structures or tissues.","mri spine thoracic w/ + w/o contrast"
927,"Right Elbow CT Arthrogram Injection Procedure","CT arthrogram elbow injection is a medical procedure that involves injecting contrast dye into the elbow joint before performing a CT scan to visualize any abnormalities or injuries in the joint. This procedure is typically used to diagnose conditions such as arthritis, ligament tears, and cartilage injuries in the elbow joint.","ct arthrogram elbow injection right"
928,"Triple Scan with Contrast: Abdomen and Pelvis","This is a medical imaging procedure where a computed tomography (CT) scan is taken of the abdomen and pelvis using contrast material to enhance the images. The + w/o indicates that the scan includes both with and without contrast, meaning the contrast material is both injected into the patient's bloodstream and also taken without contrast for comparison.","ct abdomen w/ + w/o + pelvis w/ contrast"
929,"CT-guided catheter exchange for abscess/cyst.","CT-guided catheter exchange for abscess/cyst.","ct cath exchange abscess/cyst"
930,"CT-guided needle biopsy of the neck or chest.","CT biopsy of the neck or chest refers to a medical procedure in which a sample of tissue or cells is removed from the neck or chest area of a patient using a CT scan (a type of X-ray that produces detailed images of the body). This is done to help diagnose or treat various medical conditions such as cancer, infections, or inflammation. A specialized needle or a tiny camera may be used to perform the biopsy.","ct biopsy neck or chest"
931,"Injection of contrast dye for Spinal CT scan.","A CT myelogram is a medical procedure that involves injecting a contrast agent into the surrounding cerebrospinal fluid of the spinal canal to enhance the visibility of the spinal cord, nerve roots, and other adjacent structures on a computed tomography (CT) scan.","ct myelogram injection"
932,"Removal of Tunneld Pleural Catheter with Cuff","This is the removal of a tunneled pleural catheter with a cuff that has been previously implanted for drainage of fluid surrounding the lungs.","removal tunnld pleural cath w/ cuff"
933,"Coronary Artery Mapping with Advanced Imaging","Intravascular Ultrasound (IVUS)/Optical Coherence Tomography (OCT) is a medical procedure used to visualize the insides of blood vessels. It involves inserting a small catheter into the blood vessel and using ultrasound or light waves to create detailed images of the vessel's walls, including any plaque buildup or blockages. This information can help doctors diagnose and treat conditions such as heart disease or stroke. The term coronary additional vessel is not a part of this procedure but may refer to additional blood vessels in the coronary circulation of the heart.","ivus/oct coronary additional vessel"
934,"Inflammation Imaging Localization Test (IILT)","No description.","spect infammation localization"
935,"Magnetic Resonance Imaging (MRI) Elastography","MRI elastography is a medical imaging technique that uses magnetic resonance imaging (MRI) to assess the stiffness of tissues in the body. It is a non-invasive way to diagnose liver fibrosis and other conditions that affect the elasticity of organs and tissues.","mri elastography"
936,"Tricend: Transcatheter Tricuspid Valve Repair","This is a medical procedure that involves repairing the tricuspid valve in the heart using a minimally invasive transcatheter approach, rather than open-heart surgery. The device used for repair is called Tricend.","transcatheter tricuspid valve repair - tricend"
937,"Stimulated Functional Cell Activity Procedure","Stimulated Functional Cell Activity Procedure","so cell funct involv stim"
938,"Ulcer Repair with Meshed Graft Jacket - 4x4cm","The medical procedure is repairing an ulcer using a meshed graft jacket that measures 4x4cm.","graft jacket ulcer 4x4cm repair meshed"
939,"Quick Connect 3.5mm Microscopic Bone Drilling","Quick Connect 3.5mm Microscopic Bone Drilling","bit drill short w/quick connect 3.5mm"
940,"Endoscopic Cannulated Drill for Bone Surgery.","No Description","bit drill endoscopic cannulated 4.5 strl"
941,"Sterile Putty Injection for Bone Augmentation","Sterile Putty Injection for Bone Augmentation","putty inject drillable 10cc sterile"
942,"Precision-Crafted Virtual Splint Implantation","Implant: A medical procedure in which a device or prosthesis is surgically inserted into the body to replace, augment or support a damaged or missing body part.Custom Splint: A medical device that provides support, immobilization, and stability to an injured or fractured body part. A custom splint is made based on the specific needs and measurements of the patient.Virtual Surgery: A simulation or computer-based procedure that allows a surgeon to plan and practice a surgical procedure before performing it on a patient. This can help minimize risks and complications during the actual surgery.","implant custom splint virtual surgery"
943,"Cystic Duct Introducer Set (4mm x 15cm, 12fr)","Cystic Duct Introducer Set (4mm x 15cm, 12fr)","introducer cystic duct set 4mmx15cm 12fr"
944,"Endoscopic Achilles Tendon Release Procedure.","DESCRIPTION: System Endoscopic Gastroc Release (SEGR) is a minimally invasive surgical procedure that is used to treat gastrocnemius equinus contracture, which is a condition that results in the tightness of the calf muscle leading to decreased ankle motion. During SEGR, a miniature surgical blade is inserted through a small incision to release the restrictive bands within the calf muscles. The procedure is typically performed under general anesthesia and patients may require a period of immobilization and physical therapy to facilitate recovery.","system endoscopic gastroc release"
945,"Quick Connect 2.0mm Probe Insertion Procedure","No description provided suggests that the procedure is not clear enough to provide an accurate answer.","tap quick connect 2.0mm 71174915"
946,"Direct Crescent XL Device Insertion Procedure","Direct Crescent XL Device Insertion Procedure","device accu-pass direct crescent xl"
947,"Spinal Spacer Placement with Peek AVS UniLift","Spinal Spacer Placement with Peek AVS UniLift","spacer spinal peek avs 6x30x0x0 unilift"
948,"MRI-guided non-sterile 18.0mm hip bone biopsy","No description.","hip trephine 18.0mm mri non-ster"
949,"Endomyocardial Biopsy using Maxicurve Forceps","Forcep jawz and maxicurve 5.5fr 50cm are medical tools used during the endomyocardial biopsy procedure. This procedure involves inserting a long, flexible tube (catheter) through a vein in the neck or groin and into the heart. The forcep jawz and maxicurve are used to take a small sample of heart tissue for examination under a microscope. This procedure helps diagnose certain heart conditions.","forcep jawz endomyocardial biopsy maxicurve 5.5fr 50cm"
